ingredient_id,u_desc,multiplier,ing_name,base_unit,,
25,tbsp,0.15,alho em pó,g,,
26,tbsp,0.15,cebola em pó,g,,
31,u,0.85,atum (em lata),g,,
200,g,0.01,lulas,g,,
201,ml,0.01,cerveja trapista,ml,,
202,tbsp,0.16,mustarda dijon,g,,
19,tbsp,0.15,caldo de vaca,ml,,
9,tbsp,0.12,pimenta preta,g,,
46,tbsp,0.12,pimenta branca,g,,
203,tbsp,0.12,pimenta rosa,g,,
204,tbsp,0.12,pimenta verde,g,,
202,tsp,0.05,mustarda dijon,g,,
13,c,0.4,leite,ml,,
205,c,0.4,brandy,ml,,
32,g,0.01,salsa,g,,
206,u,0.08,pimentos ñora,g,,
111,c,0.4,caldo de marisco,ml,,
207,g,0.01,folhas de lasanha,g,,
208,ml,0.01,bechamel,ml,,
122,c,1.2,queijo para derreter,g,,
185,u,0.3,manjericão,g,,
17,g,0.01,pimento vermelho,g,,
55,c,1.22,amido de milho,g,,
209,u,2.4,molho agridoce,ml,,
210,u,1.8,bok choi,g,,
211,tsp,0.05,pasta de sesamo chinesa,g,,
212,tbsp,0.15,vinagre chinkiang,ml,,
50,tsp,0.02,pimentas sichuan,g,,
52,tsp,0.05,vinho shaoxing,ml,,
214,u,0.12,cogumelos shitake,g,,
43,c,0.4,caldo de frango,ml,,
215,tsp,0.02,pó de frango,g,,
216,u,0.03,wrappers de wonton,g,,
213,tbsp,0.15,chilli oil chines,ml,,
217,u,0.22,nuggets,g,,
220,tsp,0.05,vinagre de arroz,ml,,
219,tbsp,0.16,maionese kewpie,g,,
132,qb,0,oleo de sesamo,ml,,
76,tsp,0.05,sriracha,ml,,
221,u,0.22,pão de forma,g,,
82,tsp,0.05,manteiga,g,,
90,g,0.01,alface,g,,
222,g,0.01,fiambre de peru fumado,g,,
224,u,0.22,queijo gouda,g,,
223,tbsp,0.16,ketchup,g,,
225,tsp,0.05,mustarda amarela,g,,
226,tsp,0.05,vinagre branco,ml,,
227,u,1.2,hamburguer de vaca,g,,
161,tbsp,0.15,garam masala,g,,
41,tbsp,0.06,gengibre,g,,
228,ml,0.01,natas,ml,,
229,u,1,ciabatta,g,,
230,u,0.18,salmão fumado,g,,
231,g,0.01,queijo crème,g,,
232,g,0.01,tomates sun dried,g,,
233,c,0.3,espinafres,g,,
187,c,0.9,parmesão,g,,
10,g,0.01,azeite,ml,,
234,g,0.01,gnochi,g,,
235,u,2,posta de bacalhau,g,,
236,g,0.01,couve coração,g,,
237,g,0.01,batata palha,g,,
238,u,0.28,douradinhos,g,,
239,c,1.8,arroz jasmin,g,,
75,g,0.01,mimos de pescada,g,,
240,c,0.6,panko,g,,
53,qb,0,oleo vegetal,ml,,
241,u,0.2,queijo fundido,g,,
242,u,0.7,pão brioche,g,,
152,tbsp,0.15,farinha,g,,
155,g,0.01,maionese,g,,
32,tsp,0.01,salsa,g,,
112,tsp,0.03,alcaparras,g,,
59,tbsp,0.15,limão (sumo),ml,,
110,qb,0,vinho branco,ml,,
225,tbsp,0.16,mustarda amarela,g,,
243,tsp,0.02,pimenta da jamaica,g,,
172,tsp,0.02,cominhos,g,,
175,tsp,0.02,sementes de coentros,g,,
65,tsp,0.02,izote,g,,
244,u,0.2,compal de pessego pequeno,ml,,
245,u,0.5,sopa de cebola,g,,
189,g,0.01,fermento de padeiro,g,,
246,u,1.4,pimento verde,g,,
153,g,0.01,tomilho seco,g,,
226,tbsp,0.15,vinagre branco,ml,,
70,u,0.3,coentros,g,,
247,tbsp,0.12,amendoas torradas,g,,
248,tbsp,0.1,passas,g,,
248,c,1.6,passas,g,,
249,u,0.1,lima sun dried,g,,
250,u,1.4,coxa de frango,g,,
251,qb,0,melaço de romã,ml,,
252,u,2.1,romã,g,,
247,u,0.02,amendoas torradas,g,,
141,tsp,0.03,canela,g,,
232,tbsp,0.1,tomates sun dried,g,,
44,c,0.4,molho de soja,ml,,
226,c,0.4,vinagre branco,ml,,
